job,marital,education,housing,loan,contact,poutcome,subscribed
blue-collar,married,secondary,no,no,unknown,unknown,no
blue-collar,married,secondary,no,no,cellular,unknown,no
blue-collar,married,unknown,yes,no,unknown,unknown,no
self-employed,married,tertiary,no,no,cellular,unknown,no
technician,married,secondary,no,no,cellular,unknown,no
services,married,secondary,yes,no,unknown,unknown,no
technician,married,unknown,yes,no,cellular,success,yes
technician,single,tertiary,yes,no,cellular,failure,no
blue-collar,married,secondary,yes,no,telephone,unknown,no
management,married,tertiary,yes,no,unknown,unknown,no
retired,married,tertiary,no,no,telephone,failure,yes
student,single,primary,no,no,telephone,success,yes
technician,single,secondary,no,no,cellular,other,no
management,married,tertiary,no,no,cellular,unknown,no
self-employed,single,tertiary,no,no,cellular,success,no
management,married,tertiary,no,yes,cellular,unknown,no
technician,married,primary,yes,no,unknown,unknown,no
services,divorced,secondary,yes,yes,cellular,failure,no
management,single,tertiary,yes,no,cellular,unknown,no
management,married,tertiary,no,no,cellular,unknown,no
blue-collar,married,secondary,yes,yes,unknown,unknown,no
admin.,married,tertiary,yes,no,cellular,unknown,no
technician,divorced,secondary,yes,no,cellular,unknown,no
technician,single,secondary,yes,no,unknown,unknown,no
management,married,tertiary,no,no,unknown,unknown,no
technician,single,secondary,yes,no,cellular,unknown,no
services,single,secondary,yes,no,unknown,unknown,no
blue-collar,married,primary,no,no,unknown,unknown,no
admin.,married,primary,yes,no,cellular,failure,no
services,married,secondary,no,yes,cellular,unknown,no
blue-collar,married,secondary,yes,no,cellular,unknown,no
admin.,divorced,secondary,no,yes,cellular,unknown,no
blue-collar,single,primary,yes,no,cellular,unknown,no
services,married,secondary,yes,no,cellular,unknown,no
entrepreneur,married,tertiary,yes,no,cellular,unknown,no
unemployed,divorced,secondary,no,no,cellular,unknown,no
technician,single,tertiary,no,no,cellular,unknown,no
admin.,married,unknown,no,no,cellular,unknown,no
housemaid,married,primary,no,no,unknown,unknown,no
blue-collar,married,primary,no,no,telephone,other,no
technician,married,secondary,yes,no,cellular,failure,yes
entrepreneur,married,tertiary,yes,no,unknown,unknown,no
blue-collar,married,primary,yes,no,unknown,unknown,no
technician,married,secondary,no,no,cellular,unknown,no
services,single,secondary,yes,yes,unknown,unknown,no
technician,single,secondary,no,no,cellular,unknown,no
management,married,secondary,no,no,telephone,failure,no
management,divorced,secondary,yes,no,cellular,unknown,no
management,married,unknown,yes,yes,unknown,unknown,no
services,divorced,secondary,no,no,cellular,unknown,no
retired,married,secondary,no,no,cellular,unknown,yes
technician,married,secondary,yes,no,unknown,unknown,no
blue-collar,married,primary,yes,no,cellular,other,no
blue-collar,married,secondary,yes,no,cellular,failure,no
blue-collar,single,secondary,yes,no,cellular,unknown,no
management,single,tertiary,no,no,telephone,unknown,no
management,single,tertiary,no,yes,cellular,unknown,no
admin.,married,tertiary,no,no,cellular,failure,yes
services,married,secondary,yes,no,unknown,unknown,no
admin.,single,unknown,yes,no,unknown,unknown,no
retired,married,tertiary,no,yes,cellular,unknown,no
admin.,married,secondary,no,no,cellular,unknown,no
admin.,married,secondary,yes,no,cellular,unknown,no
admin.,single,secondary,no,no,unknown,unknown,no
management,single,tertiary,no,no,cellular,other,yes
management,married,tertiary,yes,no,unknown,unknown,no
management,single,secondary,yes,no,unknown,unknown,no
retired,married,primary,yes,no,unknown,unknown,no
blue-collar,married,tertiary,yes,no,cellular,failure,no
technician,single,tertiary,yes,no,cellular,unknown,yes
services,married,primary,yes,yes,telephone,unknown,no
management,divorced,tertiary,no,no,cellular,unknown,no
self-employed,married,tertiary,no,no,cellular,unknown,yes
management,married,tertiary,no,no,cellular,failure,no
management,married,secondary,yes,no,unknown,unknown,no
unemployed,single,primary,no,no,cellular,unknown,yes
housemaid,married,primary,no,no,cellular,unknown,no
blue-collar,married,secondary,yes,no,unknown,unknown,no
management,married,tertiary,no,no,cellular,success,no
technician,married,secondary,yes,no,cellular,unknown,no
blue-collar,married,secondary,no,no,cellular,unknown,no
entrepreneur,married,secondary,yes,no,unknown,unknown,no
admin.,married,secondary,yes,yes,cellular,unknown,no
services,married,secondary,no,no,cellular,unknown,no
blue-collar,married,primary,no,yes,cellular,unknown,no
blue-collar,married,unknown,no,no,unknown,unknown,no
technician,married,secondary,no,no,unknown,unknown,no
management,married,secondary,no,no,cellular,unknown,no
unemployed,married,secondary,no,no,unknown,unknown,no
admin.,married,secondary,yes,no,cellular,unknown,no
blue-collar,married,secondary,yes,no,unknown,unknown,no
blue-collar,married,primary,yes,no,unknown,unknown,no
services,married,secondary,no,no,cellular,unknown,no
retired,married,secondary,no,yes,cellular,unknown,no
blue-collar,married,secondary,yes,no,cellular,unknown,no
blue-collar,single,secondary,yes,no,cellular,unknown,yes
blue-collar,married,primary,yes,no,cellular,failure,no
admin.,married,secondary,yes,yes,cellular,unknown,no
blue-collar,divorced,primary,yes,no,cellular,unknown,no
admin.,married,primary,yes,no,cellular,unknown,no